ID Year,Year,ID Detailed Occupation,Detailed Occupation,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
2021,"2021","291210","Physicians","true","true",9189,266170.70388508,47172.87124543845,2353.3994729739056,479,"Math & Statistics","27"
2020,"2020","1191XX","Other managers","true","true",29767,153237.57207646052,17960.657241834237,4235.444083933008,1516,"Math & Statistics","27"
2020,"2020","151252","Software developers","true","true",46309,133966.63477941652,10288.930107045562,5282.506400765478,2404,"Math & Statistics","27"
2020,"2020","172051","Civil engineers","true","true",2329,110370.416487763,36092.93480928612,1184.8301916389505,124,"Math & Statistics","27"
2020,"2020","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",5792,139091.03090469612,28401.15003666625,1868.4462243048722,302,"Math & Statistics","27"
2020,"2020","291210","Physicians","true","true",8558,255107.92065903248,46431.36979672168,2271.1637114215882,473,"Math & Statistics","27"
2019,"2019","1191XX","Other managers","true","true",28749,149109.16720581584,18068.78022517362,4162.402351700557,1533,"Math & Statistics","27"
2019,"2019","151252","Software developers","true","true",44223,131497.0746444158,10028.573063905149,5162.191827983468,2328,"Math & Statistics","27"
2019,"2019","172051","Civil engineers","true","true",2367,112326.12885509084,39150.40821678134,1194.4567361633988,119,"Math & Statistics","27"
2019,"2019","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",5032,130975.0955882353,33356.94843401802,1741.5570735058532,296,"Math & Statistics","27"
2019,"2019","291210","Physicians","true","true",8685,263566.1640759931,45808.3290220937,2287.9522747369174,500,"Math & Statistics","27"
2018,"2018","1191XX","Other managers","true","true",28157,141751.85350001775,17126.997605300592,4119.325838984143,1480,"Math & Statistics","27"
2018,"2018","151252","Software developers","true","true",40860,126392.02344591287,9672.061655467141,4962.074435089889,2152,"Math & Statistics","27"
2018,"2018","172051","Civil engineers","true","true",2169,102666.22775472568,36934.706733923296,1143.4082323785406,113,"Math & Statistics","27"
2018,"2018","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",4768,125261.50461409397,32998.284216699074,1695.2580050666984,280,"Math & Statistics","27"
2018,"2018","291210","Physicians","true","true",8735,253540.85060103034,44416.93500543546,2294.5273876218935,492,"Math & Statistics","27"
2017,"2017","172051","Civil engineers","true","true",1969,100838.12595226003,37194.58618941101,1089.4182655755988,105,"Math & Statistics","27"
2017,"2017","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",4603,126104.96828155551,31363.891087729655,1665.6675175211556,267,"Math & Statistics","27"
2016,"2016","172051","Civil engineers","true","true",1984,102177.80695564517,33567.09775477148,1093.559842245415,101,"Math & Statistics","27"
2016,"2016","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",4472,120453.63729874777,28231.01912071768,1641.794537198066,252,"Math & Statistics","27"
2015,"2015","172051","Civil engineers","true","true",1898,104984.91728134878,32420.646134921208,1069.5963420611592,103,"Math & Statistics","27"
2015,"2015","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",4588,114906.16129032258,25018.729108219875,1662.9505048221629,243,"Math & Statistics","27"
2014,"2014","172051","Civil engineers","true","true",1928,101288.98807053942,26835.342884380207,1078.0160413354713,107,"Math & Statistics","27"
2014,"2014","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",4289,112517.6297505246,18868.293071579155,1607.851727646529,230,"Math & Statistics","27"
2022,"2022","1191XX","Other managers","true","true",25611,90717.32364999414,11854.063920365481,3928.723502281308,1178,"Parks, Recreation, & Leisure","31"
2022,"2022","151252","Software developers","true","true",4145,111255.15247285887,25995.352757756875,1580.6332343773772,164,"Parks, Recreation, & Leisure","31"
2022,"2022","172051","Civil engineers","true","true",1287,80537.87024087024,29565.050894642747,880.7693536107781,60,"Parks, Recreation, & Leisure","31"
2022,"2022","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",1284,103054.2640186916,36689.50738093183,879.7422256637476,60,"Parks, Recreation, & Leisure","31"
2022,"2022","291210","Physicians","true","true",12300,225350.16292682927,39851.304293548994,2722.7624707024906,529,"Parks, Recreation, & Leisure","31"
2021,"2021","1191XX","Other managers","true","true",23454,82033.39733094568,11367.40939341332,3759.6675390841224,1069,"Parks, Recreation, & Leisure","31"
